ID,y
1,89.27324
2,108.89828
3,91.41821
4,88.57975
5,105.22566
8,92.172
10,107.01639
11,95.388214
12,116.19946
14,95.03536
15,115.57194
16,106.442566
17,100.61215
19,95.71923
20,104.59887
21,102.93174
22,114.63572
23,100.25891
26,94.976814
28,97.52991
29,100.25891
33,100.25891
35,95.26021
41,100.45022
42,93.11177
43,120.31416
45,100.98498
46,106.857544
51,94.06421
53,83.13147
55,106.88765
56,97.28912
57,101.77825
58,97.190895
59,106.779205
63,106.563354
64,97.69039
65,108.067276
69,94.49069
71,100.31631
72,104.04981
73,92.6158
76,107.308075
77,103.1982
78,112.3633
82,94.84172
83,108.067276
84,98.06032
85,102.8968
87,110.91637
88,100.78976
89,111.39446
91,94.92276
93,95.966
94,104.05728
95,98.13812
96,112.33965
97,94.25432
98,108.78513
99,97.63686
101,103.46494
103,111.43045
104,93.97381
105,111.925385
110,97.61335
111,109.94675
113,106.44573
114,92.10068
115,107.37379
117,111.285484
120,95.92387
121,114.02221
122,94.77039
123,105.953354
126,105.54851
132,111.47298
135,105.30721
137,105.21443
138,92.59986
140,97.94248
142,110.278305
144,113.32088
148,93.10465
149,112.57246
155,106.96871
156,107.864975
157,94.25432
162,113.513306
163,99.26759
167,94.53997
172,120.306725
179,105.37129
180,95.19527
181,110.7253
182,98.53997
183,111.2136
185,111.2136
187,110.21736
188,94.69245
189,96.40535
191,93.16181
192,111.64235
193,96.557076
194,106.64682
195,96.01852
196,108.00825
198,98.2135
199,113.95622
201,104.32126
204,93.32729
205,106.36118
206,99.16982
210,92.73491
211,103.46494
216,111.725006
219,116.1888
220,95.31814
221,111.08691
226,110.7253
227,94.249504
228,112.88255
230,111.051994
231,94.02527
235,114.94977
236,93.77387
238,112.68947
242,103.55494
243,94.68291
244,79.39549
245,109.12796
247,113.28991
248,93.97416
249,93.81505
250,110.85986
251,93.77387
253,114.94977
254,95.83996
256,96.66419
257,93.7061
258,109.92882
259,97.309494
262,86.7883
266,94.55231
267,111.523674
272,104.40905
273,111.318375
275,101.404305
276,113.675415
279,95.33345
280,108.465965
283,92.59324
285,113.176056
288,111.29599
289,101.849106
290,104.06878
291,93.097244
292,110.62787
293,106.84877
296,110.18944
297,109.86899
298,112.37613
299,94.7851
304,92.79234
305,87.17998
306,96.63252
307,110.82146
311,112.490425
313,110.70329
314,94.18187
316,106.22665
324,103.84171
327,96.96342
329,92.582275
330,107.17969
337,106.45759
338,101.39704
339,104.595406
340,95.98124
343,93.43607
345,115.609406
346,95.397064
347,111.46776
349,112.86975
350,93.47946
352,105.70255
353,91.75853
354,80.589134
357,93.40951
358,109.68073
362,109.78616
364,107.2393
365,104.69968
366,98.122955
367,108.31383
368,94.67518
370,81.04774
373,97.63332
377,92.82006
378,107.00547
382,107.314964
384,112.746735
390,99.65702
392,107.435616
393,104.68504
395,99.28118
396,103.49314
399,82.30143
406,110.70329
408,110.70329
409,92.33469
410,79.34578
412,102.30636
413,92.597916
419,93.284485
420,110.28991
421,92.63083
430,105.94302
434,93.10995
436,97.132996
437,96.81411
438,92.922646
439,111.114456
440,94.87282
443,106.91838
446,93.28897
448,95.42502
452,94.096634
453,101.469055
457,103.15574
458,95.51173
459,113.91194
460,105.46208
462,100.69285
464,104.10427
465,116.19375
467,114.552635
471,109.75152
472,79.40486
473,101.89126
475,94.85558
480,97.2951
488,109.18618
490,110.80653
491,103.17456
492,80.031815
493,95.22134
497,91.18783
498,111.83853
499,94.48972
500,107.39081
501,95.72371
502,107.28037
506,86.63359
510,106.07752
511,92.187546
512,92.10539
516,93.277725
518,92.80873
519,110.47896
521,92.52042
522,106.80583
526,112.129074
529,100.73962
532,112.6888
533,98.45007
536,113.3837
537,103.83933
539,94.436646
540,103.47861
541,96.96885
543,96.204796
546,112.66417
547,93.93891
548,77.93361
551,93.13095
552,104.74116
556,104.96981
557,95.06674
558,108.24109
559,94.85862
560,103.208626
562,106.18844
566,96.02285
570,111.84403
571,96.84669
572,108.48801
573,94.79049
575,116.1888
576,110.20913
577,93.77675
579,93.217674
580,109.98418
581,111.334114
589,110.78534
591,100.84108
593,98.66758
594,106.23367
595,100.05718
598,93.54412
602,111.75462
604,111.13912
606,108.31519
608,98.16322
609,103.4167
610,94.07282
616,108.36815
617,96.3921
618,100.95346
620,102.77513
622,109.55567
623,93.998055
624,137.23532
626,109.73005
628,112.290565
629,92.797035
630,111.05587
637,97.34428
638,109.408424
643,99.93656
645,97.44113
646,111.186676
648,96.45949
652,96.97553
653,96.68349
654,111.95634
656,113.29923
657,97.82162
659,106.320404
660,104.05847
663,93.66561
664,111.87239
666,100.08225
668,111.605194
669,97.30575
671,97.002754
675,94.53082
677,93.98137
678,109.370186
679,102.3062
682,101.20769
685,101.26764
687,98.80423
688,98.13661
693,109.3029
696,97.09704
698,95.20415
701,94.50025
704,100.09248
705,116.05526
709,112.313965
710,96.076836
711,103.8394
712,97.633385
714,110.62343
715,95.53786
716,111.01613
717,102.690575
720,115.57844
721,93.18088
724,102.45129
725,93.969666
726,112.53921
728,107.26584
731,95.51813
734,104.9303
738,94.9543
745,111.84997
746,93.0627
751,79.28984
754,92.524445
756,95.97086
758,98.31336
759,105.591965
761,114.567
766,98.29021
767,113.06316
768,93.93613
769,108.37445
770,99.33474
771,80.05088
772,106.86911
773,93.459946
774,112.055176
776,112.86101
777,102.71067
780,120.659424
782,103.565254
787,102.846954
788,94.61055
792,93.996445
793,110.47053
798,98.30642
800,93.18928
806,110.98826
809,111.982834
811,104.92798
812,93.95693
814,116.18813
816,102.375046
817,95.99655
818,109.29774
820,106.55772
823,95.57731
829,91.03732
830,107.44109
831,94.353874
834,113.35618
839,92.94078
841,82.6102
844,104.61967
845,93.772606
848,92.865265
850,105.9154
851,102.49938
852,97.73452
854,95.63249
855,98.02126
856,104.42602
859,104.192856
861,112.055176
864,95.694084
865,112.22894
866,93.39589
867,93.15056
869,97.36574
871,91.69115
872,110.98447
882,102.048
883,93.22485
885,95.58378
888,97.327065
893,107.95445
901,109.57086
903,103.374146
904,93.921165
905,107.69658
910,96.65716
911,111.40287
914,111.09257
918,110.14474
921,93.14199
928,94.48022
929,106.897804
932,100.75097
933,108.74783
934,96.64335
935,109.05724
937,82.95798
939,94.830986
940,104.76891
941,96.815994
942,102.00283
943,95.26216
944,100.85322
947,110.967896
949,108.62206
951,105.83698
952,98.13942
953,103.39973
954,80.79489
957,113.16753
959,93.23544
960,114.11169
963,116.205795
965,110.967896
967,102.009964
971,96.77105
972,79.129974
973,95.745636
974,112.75292
975,96.6248
978,118.014984
980,109.16333
981,96.6542
984,114.33628
986,96.74672
988,93.92471
989,110.71351
990,103.85003
992,109.610405
996,97.583824
999,106.92723
1000,102.50682
1001,112.258934
1002,94.21553
1003,112.7857
1004,94.04091
1008,113.39819
1009,95.13452
1010,103.51923
1012,114.870544
1013,93.4847
1014,111.56795
1015,92.95209
1016,116.34169
1019,96.86128
1020,108.112236
1021,96.609344
1022,100.11311
